name,status,taxa,state_count
-,Critically Endangered,Plants,1
-,Endangered,Plants,1
Bindoon Starbush,Vulnerable,Plants,1
Downy Star-bush,Vulnerable,Plants,2
Thick-leaf Star-hair,Vulnerable,Plants,1
-,Endangered,Plants,2
Long-leaf Star-hair,Critically Endangered,Plants,2
Wingan Star-hair,Endangered,Plants,1
-,Critically Endangered,Plants,1
Yarwun Whitewood,Endangered,Plants,1
"Noisy Scrub-bird, Tjimiluk",Endangered,Birds,1
Rufous Scrub-bird,Endangered,Birds,2
-,Vulnerable,Plants,1
-,Endangered,Plants,1
"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",Critically Endangered,Reptiles,1
Sydney Hawk Dragonfly,Endangered,Invertebrates,1
-,Endangered,Plants,1
-,Critically Endangered,Plants,1
-,Vulnerable,Plants,3
-,Endangered,Plants,2
"Macquarie Azorella, Macquarie Cushions",Critically Endangered,Plants,1
-,Critically Endangered,Plants,1
a shrub,Endangered,Plants,1
Sei Whale,Vulnerable,Mammals,6
Blue Whale,Endangered,Mammals,7
Fin Whale,Vulnerable,Mammals,6
Southern Shepherd's Purse,Endangered,Plants,2
"Marbled Balogia, Jointed Baloghia",Vulnerable,Plants,2
Dense Cord-rush,Vulnerable,Plants,1
Cactus Dryandra,Critically Endangered,Plants,1
Orange Dryandra,Critically Endangered,Plants,1
"Brown's Banksia, Feather-leaved Banksia",Critically Endangered,Plants,1
-,Vulnerable,Plants,1
"Matchstick Banksia, Quairading Banksia",Endangered,Plants,1
Dark-bract Banksia,Critically Endangered,Plants,1
Good's Banksia,Vulnerable,Plants,1
Kamballup Dryandra,Endangered,Plants,1
Summer Honeypot,Endangered,Plants,1
Stirling Range Dryandra,Critically Endangered,Plants,1
Swamp Honeypot,Endangered,Plants,1
Wagin Banksia,Endangered,Plants,1
a banksia,Critically Endangered,Plants,1
a banksia,Endangered,Plants,1
False Plumed-Banksia,Endangered,Plants,1
-,Endangered,Plants,1
Northern Serrate Dryandra,Critically Endangered,Plants,1
Southern Serrate Dryandra,Vulnerable,Plants,1
"Ironcaps Banksia, Ironcap Banksia",Vulnerable,Plants,1
Whicher Range Dryandra,Vulnerable,Plants,1
"Granite Banksia, Albany Banksia, River Banksia",Vulnerable,Plants,1
-,Critically Endangered,Plants,1
"Native Wintercress, Riverbed Wintercress",Endangered,Plants,1
Arnhem Land Egernia,Endangered,Reptiles,1
Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,Invertebrates,1
Tingle Pygmy Trapdoor Spider,Endangered,Invertebrates,1
a shrub,Vulnerable,Plants,1
Mt Ernest Bertya,Vulnerable,Plants,1
a shrub,Endangered,Plants,1
a shrub,Endangered,Plants,1
-,Endangered,Plants,1
-,Vulnerable,Plants,2
a shrub,Vulnerable,Plants,2
-,Endangered,Plants,1
Tasmanian Bertya,Endangered,Plants,1
Desert Bettong,Extinct,Mammals,2
"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,Mammals,4
"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,Mammals,1
"Boodie (inland), Burrowing Bettong (inland)",Extinct,Mammals,5
"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Mammals,3
Woylie,Endangered,Mammals,3
"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,Mammals,6
Nullarbor Dwarf Bettong,Extinct,Mammals,2
Northern Bettong,Endangered,Mammals,2
"Small-petalled Beyeria, Short-petalled Beyeria",Endangered,Plants,1
Kangaroo Island Turpentine Bush,Vulnerable,Plants,1
"Silver Perch, Bidyan",Endangered,Fish,5
Norfolk Island Water-fern,Endangered,Plants,0
"Tree Nettle, Nettletree",Critically Endangered,Plants,0
Barbalin Boronia,Vulnerable,Plants,1
-,Critically Endangered,Plants,1
a shrub,Endangered,Plants,1
Bremer Boronia,Endangered,Plants,1
-,Endangered,Plants,1
-,Endangered,Plants,1
Scott River Boronia,Endangered,Plants,1
"Aniseed Boronia, Galbraith's Boronia",Vulnerable,Plants,1
Granite Boronia,Endangered,Plants,2
Grimshaw's boronia,Critically Endangered,Plants,1
"Gunn's Boronia, Cataract Gorge Boronia",Vulnerable,Plants,1
Mt Arthur Boronia,Vulnerable,Plants,1
Velvet Boronia,Vulnerable,Plants,1
-,Critically Endangered,Plants,1
-,Critically Endangered,Plants,1
Key's Boronia,Vulnerable,Plants,1
a shrub,Vulnerable,Plants,1
"Repand Boronia, Border Boronia",Endangered,Plants,2
Ironcap Boronia,Endangered,Plants,1
Awl-leaved Boronia,Endangered,Plants,1
Orara Boronia,Vulnerable,Plants,1
a shrub,Vulnerable,Plants,1
Grampians Pincushion-lily,Endangered,Plants,1
"Three-leaved Bosistoa, Yellow Satinheart",Vulnerable,Plants,2
-,Critically Endangered,Plants,1
-,Vulnerable,Plants,1
Sword Bossiaea,Endangered,Plants,1
-,Endangered,Plants,1
Australasian Bittern,Endangered,Birds,7
Satin-top Grass,Vulnerable,Plants,1
Spotted Handfish,Critically Endangered,Fish,1
"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,Fish,1
Blackwall Range Kurrajong,Critically Endangered,Plants,1
Ormeau Bottle Tree,Critically Endangered,Plants,1
Ironstone Brachyscias,Critically Endangered,Plants,1
-,Critically Endangered,Plants,1
Corunna Daisy,Endangered,Plants,1
Mueller Daisy,Vulnerable,Plants,2
Mossgiel Daisy,Vulnerable,Plants,1
-,Vulnerable,Plants,1
Haines's Orange Mangrove,Critically Endangered,Plants,1
Budawangs Cliff-heath,Vulnerable,Plants,1
"Miniature Moss-orchid, Hoop Pine Orchid",Vulnerable,Plants,2
Wispy Umbrella Orchid,Vulnerable,Plants,1
Pale Umbrella Orchid,Vulnerable,Plants,1
-,Endangered,Plants,1
Mountain Pygmy-possum,Endangered,Mammals,2
Ooline,Vulnerable,Plants,2
Daintree Rainbowfish,Critically Endangered,Fish,1
"Cairns Rainbowfish, Northern Soft-spined Sunfish",Endangered,Fish,1
Canberra Spider Orchid,Critically Endangered,Plants,1
-,Endangered,Plants,1
Charming Spider-orchid,Endangered,Plants,1
"Genoa Spider-orchid, Gippsland Spider Orchid",Critically Endangered,Plants,2
Black-tipped Spider-orchid,Critically Endangered,Plants,1
Sand-hill Spider-orchid,Endangered,Plants,1
White-beauty Spider-orchid,Endangered,Plants,1
Black-clubbed Spider-orchid,Endangered,Plants,2
Duramana Fingers,Critically Endangered,Plants,1
"McIvor Spider-orchid, Audas' Spider-orchid",Endangered,Plants,1
"Small Dragon Orchid, Common Dragon Orchid",Endangered,Plants,1
Pink-lipped Spider-orchid,Endangered,Plants,1
Short Spider-orchid,Extinct,Plants,2
Winter Spider-orchid,Vulnerable,Plants,1
Dwarf Spider-orchid,Endangered,Plants,1
Northern Dwarf Spider-orchid,Vulnerable,Plants,1
Bussell's Spider-orchid,Endangered,Plants,1
Cape Spider-orchid,Endangered,Plants,1
Limestone Spider-orchid,Vulnerable,Plants,2
"Thick-stem Caladenia, Thick-stem Fairy Fingers",Critically Endangered,Plants,1
Tailed Spider-orchid,Vulnerable,Plants,1
Christine's Spider Orchid,Vulnerable,Plants,1
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Endangered,Plants,2
"Crimson Spider-orchid, Maroon Spider-orchid",Vulnerable,Plants,3
Coast Spider-orchid,Endangered,Plants,1
"Don's Spider Orchid, Beady Spider Orchid",Critically Endangered,Plants,1
Windswept Spider-orchid,Endangered,Plants,1
Cossack Spider-orchid,Endangered,Plants,1
Hinged Dragon Orchid,Endangered,Plants,1
Elegant Spider-orchid,Endangered,Plants,1
Giant Spider-orchid,Endangered,Plants,1
"Elegant Spider-orchid, Blood-red Spider-orchid",Vulnerable,Plants,2
Tawny Spider-orchid,Endangered,Plants,2
"Bayonet Spider-orchid, Clubbed Spider-orchid",Endangered,Plants,1
"Pingaring Spider-orchid, Granite Spider-orchid",Endangered,Plants,1
-,Endangered,Plants,1
"Harrington's Spider-orchid, Pink Spider-orchid",Vulnerable,Plants,1
Melblom's Spider-orchid,Endangered,Plants,1
Hoffman's Spider-orchid,Endangered,Plants,1
"Quindanning Spider Orchid, Boddington Spider Orchid",Endangered,Plants,1
"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Endangered,Plants,1
French Island Spider-orchid,Vulnerable,Plants,1
Ghost Spider-orchid,Critically Endangered,Plants,1
Collie Spider Orchid,Endangered,Plants,1
Lindley's Spider-orchid,Critically Endangered,Plants,1
Lodge's Spider-orchid,Critically Endangered,Plants,1
Wimmera Spider-orchid,Endangered,Plants,2
Lemon Spider Orchid,Critically Endangered,Plants,1
Large-club Spider-orchid,Endangered,Plants,1
"Ballerina Orchid, Ballerina Spider Orchid",Critically Endangered,Plants,1
Eastern Spider Orchid,Endangered,Plants,1
Ornate Pink Fingers,Vulnerable,Plants,2
Kangaroo Island Spider-orchid,Endangered,Plants,1
"Rosy Spider Orchid, Pale Spider-orchid, Summer Spider-orchid",Critically Endangered,Plants,1
Carbunup King Spider Orchid,Critically Endangered,Plants,1
Dwarf Spider-orchid,Critically Endangered,Plants,1
Little Dip Spider-orchid,Endangered,Plants,1
Stiff White Spider-orchid,Endangered,Plants,1
Frankston Spider-orchid,Endangered,Plants,1
"Rosella Spider-orchid, Little Pink Spider-orchid",Endangered,Plants,2
Sagg Spider-orchid,Critically Endangered,Plants,1
Kilsyth South Spider-orchid,Critically Endangered,Plants,1
Forest Fingers,Critically Endangered,Plants,1
"Greencomb Spider-orchid, Rigid Spider-orchid",Endangered,Plants,3
"Thick-lipped Spider-orchid, Daddy Long-legs",Vulnerable,Plants,2
Fringed Spider-orchid,Endangered,Plants,1
Robust Fingers,Critically Endangered,Plants,1
Candy Spider-orchid,Vulnerable,Plants,2
Dunsborough Spider-orchid,Endangered,Plants,1
Kalbarri Spider-orchid,Vulnerable,Plants,1
Williams Spider Orchid,Endangered,Plants,1
Majestic Spider-orchid,Endangered,Plants,1
Woolcock's Spider-orchid,Vulnerable,Plants,1
Yellow-lip Spider-orchid,Endangered,Plants,3
"White Rabbits, Flinders Ranges White Caladenia",Endangered,Plants,1
Chestnut-rumped Heathwren (Mt Lofty Ranges),Endangered,Birds,1
Blue Tinsel Lily,Critically Endangered,Plants,1
Elegant Tinsel Lily,Critically Endangered,Plants,1
Stilted Tinsel Lily,Vulnerable,Plants,1
Sharp-tailed Sandpiper,Vulnerable,Birds,8
"Red Knot, Knot",Vulnerable,Birds,7
Curlew Sandpiper,Critically Endangered,Birds,8
Great Knot,Vulnerable,Birds,7
