CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-20.66052834,117.0795967,Unknown,1067_2_1985_340464_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,5.0,64.0,,38.0,54.0,,,,,102.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,1067_2_1985_340465_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,88.0,3.0,8.0,75.0,58.0,108.0,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,1067_2_1985_340467_u153b,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,3.0,,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340468_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,43.0,57.0,4.0,10.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-20.66052834,117.0795967,Unknown,1067_2_1985_340469_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,20.0,,,,,,,,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340475_u153b,,,0.0,7.0,18.0,75.0,0.0,,,,,,,,,,,,,,,,,750.0,70.0,195.0,65.0,34.0,27.0,20.0,28.0,10.0,4.0,22.0,16.0,21.0,9.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340476_u153b,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,125.0,10.0,302.0,2.0,1.0,16.0,50.0,10.0,30.0,14.0,3.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340478_u153b,,,,,,,,,,,,,,,,50.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.79845532,134.7934883,Unknown,1067_2_1985_340479_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,1067_2_1985_340480_u153b,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,0.0,,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,1067_2_1985_340488_u153b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,72.0,,,,,,,,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,1067_2_1985_340489_u153b,,,,,,,,,,,,,,,,0.0,,,250.0,,,,,,33.0,,0.0,,,0.0,,,,,,,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,1067_2_1985_340491_u153b,,,,,,,,,,,,,,,,110.0,,825.0,495.0,1225.0,,0.0,,,834.0,702.0,692.0,940.0,648.0,354.0,712.0,324.0,242.0,78.0,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-34.95748829,137.4743807,Unknown,1067_2_1985_340495_u153b,28.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340498_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,4.0,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-33.89498572,122.5968524,Unknown,1067_2_1985_340500_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,1.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,1067_2_1985_340502_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,6.0,76.0,76.0,1234.0,1.0,117.0,138.0,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-26.87550882,114.3103687,Unknown,1067_2_1985_340508_u153b,,,,,,,,,,,,,,,,,,,,,,,,36.0,99.0,235.0,,,,,,,,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340509_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.79845532,134.7934883,Unknown,1067_2_1985_340510_u153b,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,1.0,1.0,,,,2.0,,0.0,0.0
