CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.97157537,139.9875087,Unknown,916_2_1535_369338_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369339_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369340_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369341_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369342_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369343_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369344_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.97157537,139.9875087,Unknown,916_2_1535_369345_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369346_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.97157537,139.9875087,Unknown,916_2_1535_369348_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369349_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-34.75516376,139.9321759,Unknown,916_2_1535_369350_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369351_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369352_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369353_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369354_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369355_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.77465865,139.2177927,Unknown,916_2_1535_369356_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369357_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369358_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369359_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369360_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_2_1535_369361_p_13917
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plants,Endangered,South Australia,-35.33131139,138.668376,Unknown,916_201_1536_369347_p_13917
"Bayonet Spider-orchid, Clubbed Spider-orchid",Plants,Endangered,South Australia,-32.48331644,138.2653766,No management,877_2_1307_250539_p_13938
"Bayonet Spider-orchid, Clubbed Spider-orchid",Plants,Endangered,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252241_p_13938
"Bayonet Spider-orchid, Clubbed Spider-orchid",Plants,Endangered,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252243_p_13938
"Bayonet Spider-orchid, Clubbed Spider-orchid",Plants,Endangered,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252246_p_13938
"Bayonet Spider-orchid, Clubbed Spider-orchid",Plants,Endangered,South Australia,-32.48331644,138.2653766,Unknown,911_3_1489_252242_p_13938
"Bayonet Spider-orchid, Clubbed Spider-orchid",Plants,Endangered,South Australia,-32.48331644,138.2653766,Unknown,911_3_1489_252245_p_13938
"Bayonet Spider-orchid, Clubbed Spider-orchid",Plants,Endangered,South Australia,-32.48331644,138.2653766,Unknown,911_201_1491_252244_p_13938
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252247_p_13947
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252250_p_13947
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252251_p_13947
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252252_p_13947
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252253_p_13947
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_201_1491_252249_p_13947
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1492_252248_p_13947
Ghost Spider-orchid,Plants,Critically Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1492_252254_p_13947
Large-club Spider-orchid,Plants,Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252255_p_13950
Large-club Spider-orchid,Plants,Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252256_p_13950
Large-club Spider-orchid,Plants,Endangered,South Australia,-34.95748829,137.4743807,Unknown,911_2_1487_252257_p_13950
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252334_p_13968
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252335_p_13968
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252340_p_13968
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252341_p_13968
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252342_p_13968
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252343_p_13968
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252344_p_13968
Stiff White Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252345_p_13968
"Thick-lipped Spider-orchid, Daddy Long-legs",Plants,Vulnerable,New South Wales,-34.87182416,149.9592602,Unknown,965_2_1881_257207_p_13996
"Thick-lipped Spider-orchid, Daddy Long-legs",Plants,Vulnerable,New South Wales,-34.98189202,150.298742,Unknown,965_2_1882_257208_p_13996
Woolcock's Spider-orchid,Plants,Vulnerable,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252258_p_14006
Woolcock's Spider-orchid,Plants,Vulnerable,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252259_p_14006
Woolcock's Spider-orchid,Plants,Vulnerable,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252261_p_14006
Woolcock's Spider-orchid,Plants,Vulnerable,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252262_p_14006
Woolcock's Spider-orchid,Plants,Vulnerable,South Australia,-32.48331644,138.2653766,Unknown,911_2_1487_252263_p_14006
Woolcock's Spider-orchid,Plants,Vulnerable,South Australia,-32.48331644,138.2653766,Unknown,911_201_1491_252260_p_14006
Yellow-lip Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,No management,1251_348_1670_611466_p_14009
Yellow-lip Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,No management,1251_348_1670_611468_p_14009
Yellow-lip Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,No management,1251_348_1670_611469_p_14009
Yellow-lip Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,No management,1251_348_1670_611470_p_14009
Yellow-lip Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,No management,1251_348_1670_611471_p_14009
Yellow-lip Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,No management,1251_348_1670_611472_p_14009
Yellow-lip Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,No management,1251_348_1670_611473_p_14009
Stilted Tinsel Lily,Plants,Vulnerable,Western Australia,-32.41332852,117.1792762,Unknown,961_3_1850_269070_p_14241
Veiny Graptophyllum,Plants,Endangered,Queensland,-27.20516781,153.3374921,Unknown,1435_2_2639_949969_p_14278
Veiny Graptophyllum,Plants,Endangered,Queensland,-27.20516781,153.3374921,Unknown,1435_2_2639_949970_p_14278
Carrington Falls Grevillea,Plants,Critically Endangered,New South Wales,-34.57821037,150.4553103,Actively managed,1453_527_2651_952496_p_14703
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,Actively managed,1388_2_1414_949558_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949559_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,Actively managed,1388_2_1414_949560_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949561_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949562_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949563_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949564_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949565_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949566_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949567_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949568_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949569_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949570_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949571_p_14724
,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1388_2_1414_949572_p_14724
Bald-tip Beard-orchid,Plants,Endangered,Victoria,-36.85791566,143.9087018,Actively managed,927_2_1665_250614_p_14735
,Plants,Critically Endangered,South Australia,-35.33131139,138.668376,No management,1251_2_1670_611572_p_15908
,Plants,Critically Endangered,South Australia,-35.33131139,138.668376,No management,1251_2_1670_611573_p_15908
,Plants,Critically Endangered,South Australia,-35.33131139,138.668376,No management,1251_2_1670_611579_p_15908
,Plants,Critically Endangered,South Australia,-35.33131139,138.668376,No management,1251_2_1670_611580_p_15908
