lat,lon,group,n
-11.49,142.35,Reptiles,1
-35.59,148.32,Mammals,1
-13.62,143.49,Reptiles,1
-28.14,152.79,Amphibians,1
-27.21,153.34,Reptiles,1
-37.35,148.37,Plants,1
-34.61,142.53,Birds,1
-27.15,152.82,Birds,1
-36.27,146.83,Birds,1
-15.35,130.14,Birds,1
-34.84,137.48,Birds,1
-15.5,130.3,Birds,1
-34.85,149.07,Reptiles,1
-28.42,153.61,Plants,1
-30.62,150.69,Plants,1
-31.35,143.98,Birds,1
-34.58,150.46,Plants,1
-15.88,136.55,Mammals,1
-41.28,146.15,Plants,1
-34.89,138.76,Mammals,1
-36.1,149.48,Plants,1
-33.71,144.58,Amphibians,1
-29.99,142.4,Birds,1
-33.8,134.79,Plants,1
-29.95,151.18,Birds,1
-29.91,115.38,Mammals,1
-37.67,146.41,Amphibians,1
-25.1,152.81,Plants,1
-39.09,146.5,Mammals,1
-22.68,150.54,Reptiles,1
-35.67,148.91,Amphibians,1
-35.33,138.67,Mammals,1
-34.14,148.38,Amphibians,1
-23.04,147.48,Birds,1
-23.1,140.4,Birds,1
-23.16,148.75,Mammals,1
-36.95,140.41,Plants,1
-33.81,149.73,Mammals,1
